날짜,종목코드,종목명,업종명,시장구분,시가,고가,저가,종가,거래량,시가총액
2025-03-14,339770,교촌에프앤비,유통,KOSPI,5750,6120,5740,5850,279338,292295718000
2025-03-14,007690,국도화학,화학,KOSPI,30350,30550,30200,30400,6077,273922726400
2025-03-14,001140,국보,운송·창고,KOSPI,0,0,0,2110,0,33456978680
2025-03-14,002720,국제약품,제약,KOSPI,4760,4805,4750,4785,58861,101249796120
2025-03-14,083420,그린케미칼,화학,KOSPI,6510,6560,6420,6480,47204,155520000000
2025-03-14,014530,극동유화,화학,KOSPI,3325,3350,3320,3335,25983,116289515700
2025-03-14,014280,금강공업,금속,KOSPI,4080,4145,4020,4035,50838,118343955495
2025-03-14,014285,금강공업우,금속,KOSPI,6650,6650,6210,6440,121,3798795000
2025-03-14,008870,금비,비금속,KOSPI,57000,58500,56200,56700,959,56700000000
2025-03-14,001570,금양,화학,KOSPI,15100,15420,13330,13430,3444840,859079442280
2025-03-14,002990,금호건설,건설,KOSPI,2525,2570,2505,2545,22627,94046899275
2025-03-14,002995,금호건설우,건설,KOSPI,12400,12400,12260,12350,1745,3609485100
2025-03-14,011780,금호석유,화학,KOSPI,111200,114600,110200,113500,123533,3102475624500
2025-03-14,011785,금호석유우,화학,KOSPI,52000,52600,51600,52000,3100,157221272000
2025-03-14,214330,금호에이치티,운송장비·부품,KOSPI,591,606,591,602,177509,128776306862
2025-03-14,001210,금호전기,전기·전자,KOSPI,702,702,693,701,31326,40288542857
2025-03-14,073240,금호타이어,화학,KOSPI,4950,4960,4840,4875,294447,1400393899125
2025-03-14,092440,기신정기,기계·장비,KOSPI,2410,2420,2410,2415,1943,70518000000
2025-03-14,000270,기아,운송장비·부품,KOSPI,100000,100600,99400,99500,1258197,39568426884000
2025-03-14,024110,기업은행,은행,KOSPI,15730,15800,15560,15700,876072,12519586143300
2025-03-14,013700,까뮤이앤씨,건설,KOSPI,1248,1273,1241,1247,68486,74509285010
2025-03-14,004540,깨끗한나라,종이·목재,KOSPI,2270,2305,2250,2295,59381,85467390435
2025-03-14,004545,깨끗한나라우,종이·목재,KOSPI,11420,11600,11410,11450,344,4192532000
2025-03-14,001260,남광토건,건설,KOSPI,8100,8240,8080,8230,13830,80922067560
2025-03-14,008350,남선알미늄,금속,KOSPI,1359,1381,1359,1370,121176,176838353300
2025-03-14,008355,남선알미우,금속,KOSPI,14330,14400,14320,14400,382,4433616000
2025-03-14,004270,남성,유통,KOSPI,1080,1088,1064,1077,40300,39000496320
2025-03-14,003920,남양유업,음식료·담배,KOSPI,73300,73700,72500,72500,9414,466668725000
2025-03-14,003925,남양유업우,음식료·담배,KOSPI,39900,39950,38800,39000,7071,78000000000
2025-03-14,025860,남해화학,화학,KOSPI,6340,6470,6330,6380,67110,316951018340
2025-03-14,005720,넥센,화학,KOSPI,4485,4585,4455,4585,42951,245499134545
2025-03-14,005725,넥센우,화학,KOSPI,2995,3145,2995,3075,2712,11071845000
