종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MTT,시가총액,테마명
130660,한전산업,전기유틸리티,90,17,71,73,0,347516000000,"전력설비,스마트그리드(지능형전력망),전력저장장치(ESS),원자력발전"
171010,램테크놀러지,반도체와반도체장비,90,12,76,95,0,64344384000,"日 수출 규제(국산화 등),OLED(유기 발광 다이오드),반도체 재료/부품"
037270,YG PLUS,방송과엔터테인먼트,90,94,91,83,0,313975579500,"광고,화장품,음원/음반"
145020,휴젤,생물공학,90,94,92,82,97,4209747022000,"미용기기,보톡스(보툴리눔톡신)"
199430,케이엔알시스템,측정/ 시험/ 항해/ 제어 및 기타 정밀기기 제조업; 광학기기 제외,90,2,15,91,0,91832174850,
071280,로체시스템즈,반도체와반도체장비,90,19,70,40,0,269373178830,"LCD장비,반도체 장비"
006060,화승인더스트리,섬유/의류/신발/호화품,90,77,79,78,97,284344800000,패션/의류
437730,삼현,자동차 신품 부품 제조업,90,8,83,96,0,350685691020,
011790,SKC,화학,90,5,4,78,0,4585850887800,"LCD 부품/소재,2차전지,K-뉴딜지수(2차전지),K-뉴딜지수,2차전지(소재/부품),플렉서블 디스플레이,석유화학,폴더블폰,태양광에너지,전기차"
000100,유한양행,제약,90,58,27,60,0,9721338556800,"K-뉴딜지수,제약업체,치매,코로나19(덱사메타손),백신/진단시약/방역(신종플루, AI 등),겨울,K-뉴딜지수(바이오),화이자(PFIZER),면역항암제,미용기기"
006260,LS,전기장비,90,29,83,87,0,3751300000000,"전력설비,해저터널(지하화/지하도로 등),무선충전기술,지주사,전선,풍력에너지"
058430,포스코스틸리온,비철금속,90,97,96,95,0,274200000000,"전기차,철강 주요종목"
140670,알에스오토메이션,기계,90,10,73,94,0,141779853600,"4차산업 수혜주,스마트팩토리(스마트공장),반도체 장비,태양광에너지,전력저장장치(ESS),로봇(산업용/협동로봇 등)"
069460,대호에이엘,비철금속,90,96,92,84,97,106663717446,"철도,비철금속,자동차부품"
036810,에프에스티,반도체와반도체장비,90,62,92,92,0,472122321300,"LCD 부품/소재,반도체 재료/부품,반도체 장비,바이오인식(생체인식)"
